n_estimators,early_stopping_rounds,n_jobs,eval_metric,random_state,colsample_bytree,learning_rate,max_depth,min_child_weight,subsample,val_accuracy,val_auc,best_iteration,best_score
1000,40,-1,logloss,42,0.6,0.03,10,2,0.6,0.825,0.904984309216498,468,0.39020716595796534
1000,40,-1,logloss,42,0.6,0.03,10,2,0.8,0.8138888888888889,0.9007667550521112,478,0.40108149482944605
1000,40,-1,logloss,42,0.7,0.01,6,1,0.6,0.8119444444444445,0.8935070661013622,997,0.42074915450415573
1000,40,-1,logloss,42,0.7,0.01,6,1,0.8,0.8108333333333333,0.889583443969515,999,0.4272020724792189
1000,40,-1,logloss,42,0.7,0.01,6,2,0.6,0.8097222222222222,0.8921149027245523,999,0.4236918824979673
1000,40,-1,logloss,42,0.7,0.01,6,2,0.8,0.8105555555555556,0.8893762712869159,999,0.4277408680000291
1000,40,-1,logloss,42,0.7,0.01,8,1,0.6,0.8158333333333333,0.9004360815155038,999,0.4018409326752751
1000,40,-1,logloss,42,0.7,0.01,8,1,0.8,0.8108333333333333,0.8970344048679098,999,0.4085041240124782
1000,40,-1,logloss,42,0.7,0.01,8,2,0.6,0.8197222222222222,0.8999794371078076,999,0.40414218282437003
1000,40,-1,logloss,42,0.7,0.01,8,2,0.8,0.8105555555555556,0.8969990527484497,999,0.4093171014438849
1000,40,-1,logloss,42,0.7,0.01,10,1,0.6,0.8236111111111111,0.904260594212009,999,0.3918780698490769
1000,40,-1,logloss,42,0.7,0.01,10,1,0.8,0.8072222222222222,0.8968931507661375,999,0.40647252834806247
1000,40,-1,logloss,42,0.7,0.01,10,2,0.6,0.8227777777777778,0.9024794031450727,999,0.3960532370456753
1000,40,-1,logloss,42,0.7,0.01,10,2,0.8,0.8097222222222222,0.8965070562212939,999,0.40726368601252844
1000,40,-1,logloss,42,0.7,0.02,6,1,0.6,0.8225,0.9045378536292579,997,0.39127076047842924
1000,40,-1,logloss,42,0.7,0.02,6,1,0.8,0.8258333333333333,0.9027554275537816,999,0.3961249908112707
1000,40,-1,logloss,42,0.7,0.02,6,2,0.6,0.8283333333333334,0.9049404664133252,999,0.3913425175631548
1000,40,-1,logloss,42,0.7,0.02,6,2,0.8,0.8219444444444445,0.9016542630642291,998,0.397918717346927
1000,40,-1,logloss,42,0.7,0.02,8,1,0.6,0.8258333333333333,0.9075565232533583,852,0.385601950267996
1000,40,-1,logloss,42,0.7,0.02,8,1,0.8,0.8261111111111111,0.9045742863811903,889,0.39220924254214173
1000,40,-1,logloss,42,0.7,0.02,8,2,0.6,0.8275,0.9066017072758059,883,0.38684029638081685
1000,40,-1,logloss,42,0.5,0.01,6,1,0.5,0.8169444444444445,0.8953913803813953,999,0.4198217060902001
1000,40,-1,logloss,42,0.5,0.01,8,1,0.5,0.8244444444444444,0.9040830617343719,999,0.39724046889382103
1000,40,-1,logloss,42,0.5,0.01,10,1,0.5,0.8269444444444445,0.907289452656565,999,0.3869049560274774
1000,40,-1,logloss,42,0.5,0.02,6,1,0.5,0.8244444444444444,0.9042710917845997,999,0.3931260713230909
1000,40,-1,logloss,42,0.5,0.02,8,1,0.5,0.8308333333333333,0.9109111152003616,955,0.3780633532296148
1000,40,-1,logloss,42,0.5,0.02,10,1,0.5,0.8291666666666667,0.9092228585260667,703,0.38222316057566785
1000,40,-1,logloss,42,0.5,0.03,6,1,0.5,0.8286111111111111,0.9075417031508772,923,0.38507326466532604
1000,40,-1,logloss,42,0.5,0.03,8,1,0.5,0.8233333333333334,0.9089909856726659,620,0.38230591676435627
1000,40,-1,logloss,42,0.5,0.03,10,1,0.5,0.8294444444444444,0.9085664514870121,557,0.3848923589514905
1000,40,-1,logloss,42,0.6,0.01,6,1,0.5,0.8141666666666667,0.8953568001422729,999,0.41919290216833666
1000,40,-1,logloss,42,0.6,0.01,8,1,0.5,0.8230555555555555,0.9022972393854105,999,0.39958526114338183
1000,40,-1,logloss,42,0.6,0.01,10,1,0.5,0.8219444444444445,0.9055162891451396,999,0.3897461915386763
1000,40,-1,logloss,42,0.6,0.02,6,1,0.5,0.8230555555555555,0.9050886674381355,999,0.3910223326626389
1000,40,-1,logloss,42,0.6,0.02,8,1,0.5,0.8266666666666667,0.906966189171198,788,0.3863003031533703
1000,40,-1,logloss,42,0.6,0.02,10,1,0.5,0.8258333333333333,0.9082726738305396,811,0.3857736428429295
1000,40,-1,logloss,42,0.6,0.03,6,1,0.5,0.8227777777777778,0.9049645490798568,903,0.389362796431645
1000,40,-1,logloss,42,0.6,0.03,8,1,0.5,0.8308333333333333,0.9085834328544382,656,0.3838655085880277
1000,40,-1,logloss,42,0.6,0.03,10,1,0.5,0.8222222222222222,0.9059398970743884,465,0.38908156405823924
1000,40,-1,logloss,42,0.7,0.01,6,1,0.5,0.8147222222222222,0.8937241188522819,999,0.42031699630393027
1000,40,-1,logloss,42,0.7,0.01,8,1,0.5,0.8194444444444444,0.9025897820333427,999,0.39832075728025906
1000,40,-1,logloss,42,0.7,0.01,10,1,0.5,0.8211111111111111,0.9042714005367347,999,0.3915963656951984
1000,40,-1,logloss,42,0.7,0.02,6,1,0.5,0.8241666666666667,0.9040571265550302,968,0.3930805644724104
1000,40,-1,logloss,42,0.7,0.02,8,1,0.5,0.8272222222222222,0.9084874109404466,924,0.383910267936331
1000,40,-1,logloss,42,0.7,0.02,10,1,0.5,0.8244444444444444,0.9080545404471473,689,0.38452647191753686
1000,40,-1,logloss,42,0.7,0.03,6,1,0.5,0.8272222222222222,0.9080892750623372,932,0.3838667781256501
1000,40,-1,logloss,42,0.7,0.03,8,1,0.5,0.8230555555555555,0.9059192106813418,557,0.38883648154569933
1000,40,-1,logloss,42,0.7,0.03,10,1,0.5,0.8247222222222222,0.9079115882086324,511,0.3860813759531367
